"Unit Number (Primary)","SUM of Net Mineral Acres","SUM of W.I.","SUM of NRI","Operator","Unit Type","North_STR","Middle_STR","South_STR","Unit Size","Unit No.","Primary Target","Secondary Target","Key Offsets","Cherokee Tier","Red Fork Tier","Rank","Comments","Drilling Commentary","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"60","39.9","0.03118","0.02457","CRAWLEY","Non-Op","27-15N-24W","","34-15N-24W","1280","60","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"413","37.5","0.02930","0.02300","NADEL & GUSSMAN","Non-Op","10-13N-19W","","15-13N-19W","1280","413","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","30.0","0.02344","0.01758","","Non-Op","6-11N-19W","","7-11N-19W","1280","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"587","29.7","0.02317","0.01883","MEWBOURNE","Non-Op","30-15N-19W","","31-15N-19W","1280","587","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","22.7","0.01180","0.00964","MEWBOURNE","Non-Op","14-14N-23W","23-14N-23W","26-14N-23W","1920","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1195","20.4","0.01596","0.01197","NADEL & GUSSMAN","Non-Op","6-13N-19W","","7-13N-19W","1280","1195","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"649","18.7","0.01459","0.01153","DUNCAN","Non-Op","34-14N-18W","","3-13N-18W","1280","649","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"234","15.6","0.01218","0.00965","SANDRIDGE","Non-Op","35-16N-24W","","2-15N-24W","1280","234","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","14.6","0.01141","0.00856","","Non-Op","3-13N-19W","","34-14N-19W","1280","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","10.8","0.00845","0.00633","CRAWLEY","Non-Op","31-14N-23W","","6-13N-23W","1280","27","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"57","10.8","0.00841","0.00647","CRAWLEY","Non-Op","19-12N-18W","","30-12N-18W","1280","57","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"1333","10.0","0.00781","0.00625","","Non-Op","19-15N-18W","","30-15N-18W","1280","1333","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
